Father Child Frequency
17 10 1
20 14 1
21 0 2
21 1 1
21 4 1
21 6 1
21 23 1
22 0 2
22 1 3
22 2 1
22 4 2
22 6 1
22 7 1
22 10 1
22 21 1
23 0 2
23 1 1
23 2 2
23 3 1
23 4 1
23 10 1
23 11 1
23 14 1
23 16 1
23 18 3
23 19 1
23 20 1
23 21 1
23 23 1
23 24 1
24 0 3
24 1 8
24 2 3
24 3 4
24 4 1
24 8 1
24 9 1
24 15 1
24 18 1
24 20 1
24 21 1
24 22 2
24 23 1
25 0 7
25 1 6
25 2 6
25 3 3
25 5 3
25 12 2
25 15 1
25 17 3
25 19 1
25 20 2
25 21 1
25 23 2
26 0 14
26 1 6
26 2 6
26 3 3
26 5 1
26 7 1
26 8 1
26 11 1
26 12 1
26 14 3
26 18 1
26 19 1
26 21 1
26 24 2
27 0 8
27 1 8
27 2 4
27 3 2
27 4 3
27 5 2
27 6 1
27 7 1
27 10 2
27 11 1
27 12 1
27 15 1
27 17 2
27 18 3
27 19 2
27 20 2
27 21 1
27 22 1
27 23 2
27 24 2
28 0 10
28 1 11
28 2 4
28 3 3
28 4 1
28 5 2
28 8 1
28 9 1
28 11 1
28 12 2
28 14 1
28 15 1
28 16 2
28 17 1
28 21 4
28 23 1
28 24 1
29 0 6
29 1 10
29 2 3
29 3 2
29 10 1
29 12 1
29 14 1
29 16 4
29 17 1
29 20 3
29 21 3
29 22 3
29 23 3
29 24 2
30 0 9
30 1 10
30 2 4
30 3 2
30 4 1
30 6 3
30 10 1
30 11 1
30 12 1
30 13 1
30 16 1
30 18 1
30 20 5
30 21 3
30 22 1
30 24 4
31 0 7
31 1 9
31 2 3
31 3 3
31 4 3
31 6 1
31 8 1
31 10 1
31 11 2
31 12 1
31 15 1
31 17 1
31 18 1
31 19 2
31 20 1
31 21 1
31 23 2
31 24 3
32 0 12
32 1 9
32 2 1
32 3 4
32 4 1
32 5 2
32 6 3
32 7 1
32 9 3
32 10 1
32 12 1
32 13 1
32 17 1
32 18 3
32 19 3
32 20 4
32 21 2
32 22 1
32 23 2
33 0 7
33 1 9
33 2 4
33 4 1
33 5 3
33 6 2
33 8 1
33 9 2
33 10 1
33 12 2
33 13 1
33 14 1
33 15 2
33 18 1
33 20 3
33 22 3
33 23 1
34 0 14
34 1 3
34 2 9
34 3 2
34 4 2
34 6 1
34 10 2
34 12 1
34 13 1
34 15 1
34 17 1
34 18 2
34 19 3
34 20 2
34 22 3
34 23 2
34 24 5
35 0 7
35 1 9
35 2 4
35 3 3
35 4 1
35 6 1
35 7 1
35 13 1
35 14 2
35 15 3
35 16 1
35 17 2
35 18 1
35 19 2
35 20 3
35 22 3
35 23 2
35 24 4
36 0 9
36 1 12
36 2 3
36 3 1
36 4 2
36 6 2
36 7 2
36 12 1
36 16 2
36 18 2
36 20 3
36 21 2
36 22 3
36 23 1
36 24 2
37 0 10
37 1 10
37 2 5
37 3 1
37 4 2
37 5 2
37 11 1
37 12 1
37 15 2
37 16 1
37 17 1
37 18 2
37 19 1
37 20 1
37 21 2
37 23 4
37 24 1
38 0 12
38 1 8
38 2 3
38 3 5
38 4 1
38 6 1
38 11 2
38 12 1
38 13 2
38 14 1
38 16 3
38 17 2
38 19 3
38 22 2
38 23 3
38 24 3
39 0 13
39 1 8
39 2 2
39 3 1
39 4 4
39 7 2
39 8 2
39 9 1
39 11 1
39 15 1
39 19 2
39 21 1
39 22 2
39 23 2
39 24 3
40 0 16
40 1 8
40 2 6
40 3 2
40 4 1
40 5 2
40 6 2
40 8 1
40 10 2
40 21 3
40 22 2
40 23 2
41 0 11
41 1 14
41 2 4
41 3 1
41 5 2
41 8 1
41 13 1
41 16 1
41 18 1
41 21 1
41 22 2
41 23 3
41 24 2
42 0 3
42 1 5
42 2 8
42 3 4
42 4 1
42 5 3
42 9 2
42 11 1
42 12 1
42 16 1
42 18 1
42 19 3
42 20 2
42 21 1
42 23 1
43 0 4
43 1 5
43 2 7
43 3 1
43 4 2
43 6 1
43 7 3
43 8 1
43 9 2
