Indicator Name,Indicator Code,Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,,,,,,,,,,,,,14.31837584,9.438757536,14.51571611,11.18704254,11.13201429,3.4,20.4,8.2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,-29.58899767,-7.2,9.6,8.3,13.3,9.100000399,-10.20000033,12.7,10.1,7.3,7,2.9,5.7,5.9,5.5,5,5.9,7.7,3.3,3.5
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,-1.200000614,1.800002315,-2.100000755,-0.899996563,3.79999481,4.099998477,1.099999927,5.100003607,3.200001534,2.200000704,2.599995168,4.700004652,6.900001663,5.199997104,5.099999286,2,3,2.4,2.4,3.3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,2.546000641,0.929215383,-1.031491714,2.383195277,2.757493977,4.649741959,9.067673964,3.194787965,4.099081148,1.165787064,11.77027275,5.874302308,6.754385451,6.484810116,5.9178627,6.789935147,1.4280715,3.570737186,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,-1.2,-6.9,-24.7,3.5,10.4,11.2,7.9,6.804762114,3.239799671,3.012076175,3.141966223,14.49054878,3.308277922,11.18280776,18.26154849,20.7350198,22.59310611,13.81709896,2.412911615,3.407643628
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,2.03643903,0.848183727,5.390102213,6.327624895,-4.176822709,6.739561478,4.885845391,4.40767125,4.121605395,1.480623125,2.211641092,2.523173733,5.070968425,7.033822021,4.187961302,13.2769988,-9.572903743,1.47147429,-10.34568236,-8.881994751
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Arab World,ARB,5.444662555,4.228099821,2.83505849,3.617284964,2.846149964,4.59739297,3.671272696,4.323455469,2.468241479,4.791657377,1.874273714,1.881100476,5.507811239,7.075816535,5.438518548,6.024448711,4.659429623,5.536891986,1.96388622,4.428208126
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,12.6697101,11.94077473,5.906919494,5.836200697,-2.845209611,5.526689828,8.111046758,3.850178869,-3.385457053,-0.788998922,-4.408839698,-10.89448482,8.837040783,9.029573322,9.178950217,8.466062712,8.653336846,6.75843942,0.850241476,9.160916925
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800351,13.74920196,6.9,-14.14998864,2.096365892
