Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Arab World,ARB,0.587296683,0.639632845,0.70302312,0.825919572,0.942518295,1.104674691,1.21531927,1.278306431,1.416419289,1.71754066,1.74804418,1.941960767,2.060148213,2.332552019,2.214954874,2.128130687,2.503147618,2.562945214,2.672673992,2.770470249,2.993200538,2.830647604,2.620879707,2.71206739,2.872103686,2.947065751,3.168692132,3.087274444,3.184909737,3.154176608,3.076827752,3.196969166,3.415768348,3.645468,3.65237251,3.435691759,3.332829576,3.223832738,3.466728514,3.518508031,3.94186213,3.75559121,3.756770953,3.833218853,3.996731339,4.242598459,4.226897947,4.316271685,,,
East Asia & Pacific (all income levels),EAS,1.178280301,1.015085318,0.916899812,0.937619561,0.965487012,1.027951326,1.081918777,1.066260428,1.15703028,1.3128919,1.568592046,1.670550234,1.718347549,1.847495221,1.808236478,1.871724491,1.927034714,2.047668432,2.149527537,2.186369518,2.140840223,2.081789182,2.123689396,2.162063523,2.277460814,2.3503039,2.399008187,2.474412452,2.639180773,2.677393766,2.752437992,2.84062337,2.926283072,3.038077546,3.168433124,3.319613802,3.432339613,3.443769372,3.162101653,3.131790448,3.217188001,3.260216529,3.379289349,3.707419508,4.090162827,4.316559382,4.524129818,4.7447364,,,
East Asia & Pacific (developing only),EAP,0.980450243,0.724570189,0.592395195,0.577302737,0.57108152,0.611679457,0.650605192,0.555419483,0.59462876,0.692696476,0.87134195,0.976129745,0.988702902,1.015158862,1.010431106,1.127763752,1.158964897,1.252037147,1.363934081,1.37528522,1.340531815,1.312886435,1.388542678,1.442349936,1.530449764,1.628585515,1.684592063,1.770572983,1.8765143,1.886474228,1.926706038,2.018357705,2.088319343,2.203401234,2.296963237,2.459459641,2.546767563,2.539153357,2.276618785,2.269192678,2.328625507,2.386997127,2.496746591,2.855856407,3.275651676,3.545314341,3.781229774,4.00539429,,,
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.873728566,8.627624602,8.368361372,8.333130824,8.515020308,8.669703641,8.518166285,8.653006695,8.248439457,8.29470326,8.460680168,8.400019446,8.528557618,8.521161498,8.421560712,8.314478009,8.167072834,,,
Europe & Central Asia (all income levels),ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.032837698,8.527922064,7.954179384,7.92115768,7.965365616,7.674903677,7.603486227,7.355981955,7.412380315,7.50433071,7.462460566,7.67323762,7.70444381,7.687288833,7.789521057,7.732341412,,,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.433237631,8.571354298,7.419855849,7.183213393,7.019207535,6.632592474,6.447804465,6.353971112,6.453277723,6.47513193,6.496070992,6.775629008,6.857675789,6.931330923,7.168601031,7.250171971,,,
European Union,EUU,5.77765677,5.936284367,6.222186208,6.589080747,6.807157047,6.979380259,7.134660868,7.248840425,7.616443236,8.027643004,8.51516103,8.672693757,8.964717797,9.367170588,9.183270576,8.964145948,9.50624236,9.431436056,9.698137719,10.06997516,9.750908516,9.160665014,8.939592602,8.792861845,8.713779719,8.929301196,8.875210069,9.024155295,8.874415354,9.11685946,8.671729249,8.86964945,8.610691146,8.441180912,8.328212946,8.489237175,8.690396283,8.453635472,8.442580246,8.011988133,8.041532384,8.200386546,8.111823068,8.264638863,8.244038452,8.157707169,8.160786872,8.017564088,,,
Heavily indebted poor countries (HIPC),HPC,0.134456172,0.139737344,0.136140455,0.140546859,0.147900868,0.16881153,0.170726337,0.179766449,0.203058911,0.218386485,0.23169229,0.242398346,0.24202471,0.252863826,0.251508619,0.24449521,0.231848507,0.23377037,0.236836353,0.233857158,0.246406469,0.235272561,0.233989462,0.229136741,0.21631304,0.2238004,0.1919982,0.208231036,0.219662241,0.226426426,0.196774965,0.18863404,0.188758028,0.186310629,0.178845846,0.181236397,0.186005919,0.188227417,0.176686197,0.170626542,0.171383134,0.169208863,0.172868959,0.185553334,0.192109085,0.193214997,0.191748499,0.207755231,,,
High income,HIC,7.675567852,7.754884229,8.008050234,8.350374273,8.659596223,8.943243403,9.244185825,9.565599262,10.00104151,10.51376977,11.32836766,11.43311499,11.8795376,12.47098053,12.0301065,11.52936475,12.04987892,12.11548732,12.34463836,12.5452983,12.17157535,11.55908861,11.04424561,10.95365275,11.16502602,11.22395376,11.18754839,11.42171339,11.75716539,11.95200763,11.83032004,11.96152875,11.92093873,12.15423061,12.21556382,12.17214831,12.39558193,12.42846054,12.34232862,12.16616896,12.53858415,12.39342012,12.39834506,12.49876082,12.60029318,12.56475164,12.43138306,12.45373953,,,
High income: nonOECD,NOC,1.2016015,1.456568346,1.816521988,1.947930821,2.357116316,2.58096672,2.542577937,3.023203679,3.137233084,4.061739016,4.877815713,5.600738127,6.191703092,7.048476428,6.796774093,6.470918258,7.55821276,7.932989778,8.213424812,8.472834703,9.092339631,8.511197028,7.955321491,7.998560919,8.121974888,8.430865655,9.123171644,8.699749033,9.161904378,9.492293265,9.677896096,10.38109955,11.44618117,12.35447964,12.57593046,11.11041466,11.05322605,10.99845185,11.65528844,11.58614168,13.28629171,12.78433312,12.77701194,13.31921563,13.86191582,14.39130844,14.33315702,14.61836918,,,
High income: OECD,OEC,7.972393702,8.047918847,8.301428795,8.658696123,8.968250009,9.259609129,9.581520531,9.900629861,10.35777512,10.8547719,11.67524342,11.75243675,12.19606148,12.77880482,12.33122314,11.82478493,12.31884506,12.37112718,12.6019133,12.80461657,12.37429512,11.76315591,11.25449353,11.15887612,11.38000192,11.42526865,11.34087901,11.62391132,11.95311737,12.14046479,11.9978289,12.08730477,11.9700547,12.15896006,12.20972828,12.26763514,12.51249937,12.5529201,12.41398676,12.23043237,12.50610685,12.38722936,12.39327762,12.46041531,12.52786036,12.44706749,12.30559556,12.30434453,,,
Latin America & Caribbean (all income levels),LCN,1.336278561,1.32848608,1.370185019,1.333460255,1.404428468,1.416175851,1.452100722,1.519944471,1.581752129,1.669826998,1.797400683,1.830962047,1.872839875,1.997911007,2.072045272,2.044993007,2.104116318,2.14354382,2.291955906,2.399524908,2.485798249,2.411018422,2.492039405,2.33296021,2.282627661,2.222931499,2.260053243,2.322310758,2.334218046,2.330346978,2.403002889,2.365203041,2.408154433,2.378972879,2.441931981,2.460371174,2.523883501,2.6075437,2.669058131,2.675673738,2.612087476,2.650535845,2.629066519,2.641229339,2.656266423,2.693154602,2.723120318,2.839176593,,,
Latin America & Caribbean (developing only),LAC,1.314550828,1.297178192,1.326496634,1.316404573,1.37518294,1.380478181,1.421690822,1.484493232,1.548285749,1.635858328,1.741981818,1.764592597,1.807508628,1.92443701,1.998673073,1.971337908,2.017321556,2.047064521,2.207246118,2.310269915,2.39309548,2.3335408,2.413242045,2.262561023,2.210501705,2.144592444,2.19063792,2.251922024,2.267586535,2.262447986,2.330232011,2.284046098,2.328407194,2.309038595,2.366249376,2.382570291,2.444356839,2.532812343,2.594694981,2.594568008,2.52740047,2.564967849,2.539967651,2.551533064,2.559468805,2.597369119,2.621135603,2.73187196,,,
Least developed countries: UN classification,LDC,,,,,,,,,,,,,0.165134391,0.172347901,0.169486455,0.161277989,0.150404243,0.15122987,0.155612978,0.162369126,0.165697382,0.158082628,0.150486108,0.150558585,0.150323406,0.149794119,0.14830798,0.151541628,0.154028916,0.148527035,0.146027312,0.143669072,0.15008939,0.141553533,0.141164123,0.161334971,0.169413992,0.168306773,0.154776096,0.163894037,0.168386315,0.177320808,0.18695771,0.191389008,0.211299302,0.223765364,0.223601908,0.2366376,,,
Low & middle income,LMY,1.045722684,0.904499692,0.852727908,0.860833442,0.881815425,0.936900872,0.984621591,0.947994949,1.011966562,1.099403078,1.233047595,1.325587467,1.354410328,1.417993444,1.43720267,1.508414599,1.568686416,1.652974505,1.7498327,1.789138957,1.767480636,1.743987017,1.820284559,1.850543882,1.905092544,1.97147349,2.021180827,2.093319555,2.177851486,2.189162266,2.200296935,2.238807877,2.293559126,2.250947787,2.202645102,2.23976154,2.268993852,2.238344857,2.134649373,2.127183733,2.157771524,2.174145024,2.208794841,2.364019551,2.537118014,2.649457086,2.761024242,2.871362331,,,
Low income,LIC,0.198669029,0.210661595,0.228362732,0.234358959,0.245605752,0.282341916,0.296829251,0.310368868,0.344955888,0.36935289,0.405834424,0.529892426,0.449339645,0.476550721,0.483914674,0.490143686,0.494357842,0.49275779,0.498676741,0.499765855,0.508783957,0.495193094,0.480379126,0.500430181,0.516393559,0.533474823,0.563198899,0.604564666,0.657068238,0.672654078,0.678516497,0.674184566,0.672742357,0.655556219,0.618190537,0.610523376,0.603901438,0.553436871,0.267566776,0.279007996,0.282346384,0.280936938,0.272027998,0.278040914,0.285582256,0.298524188,0.300784129,0.283226276
Lower middle income,LMC,0.407937046,0.432328073,0.45238696,0.479063464,0.479340546,0.533402429,0.551735772,0.523391901,0.555273609,0.572845197,0.599982209,0.630571828,0.649738426,0.677789689,0.692453763,0.705369588,0.739691316,0.812727606,0.817672119,0.872633293,0.867780788,0.87817188,0.897579788,0.92297548,0.941119864,0.98559901,1.015615494,1.042983365,1.107017211,1.110422025,1.126221147,1.176710714,1.259646901,1.218978397,1.175933047,1.193474637,1.225203019,1.215733544,1.187153913,1.226339171,1.265346191,1.27728252,1.298220998,1.323067923,1.375286393,1.408830777,1.426811128,1.49465838
Middle East & North Africa (all income levels),MEA,0.943973608,0.977851239,1.040215547,1.176660488,1.331210808,1.543835341,1.717068694,1.781825591,2.005484112,2.263666479,2.343213379,2.565841817,2.685449182,3.083261404,3.043157571,2.917424233,3.345003652,3.41758368,3.49373248,3.562309247,3.499264862,3.286028307,3.20680436,3.312659171,3.434329173,3.519082797,3.640966388,3.581475629,3.716357834,3.737232362,3.784172241,3.893675551,4.155692695,4.299601561,4.533179295,4.294369504,4.189713551,4.112200408,4.401735441,4.427539043,4.866374873,4.74192078,4.765757079,4.895557864,5.087252681,5.291764262,5.433485678,5.533874917
Middle East & North Africa (developing only),MNA,0.836979388,0.830317417,0.828397625,0.895780915,0.981758785,1.129437026,1.317068888,1.307728007,1.555146209,1.600503506,1.662482698,1.73040469,1.768866537,1.987926488,2.003477369,1.993182683,2.302761987,2.327046222,2.406894633,2.438111961,2.204925124,1.983019831,2.054964851,2.224579744,2.330380186,2.352408361,2.338105848,2.415900016,2.525819076,2.532821862,2.567348242,2.583981939,2.69432619,2.649158409,2.909336602,2.924086726,2.880476964,2.875911551,3.076865546,3.087758706,3.189701168,3.196437707,3.276490323,3.319769458,3.440767039,3.565856129,3.705969333,3.742575117
Middle income,MIC,1.148945207,0.989164953,0.92866155,0.937003589,0.959180438,1.015873304,1.067780276,1.024377807,1.091550466,1.18690453,1.332630276,1.417503062,1.463069033,1.530658038,1.551248236,1.631230773,1.699356592,1.795960004,1.905805522,1.951184422,1.925928908,1.902417813,1.992877646,2.024978804,2.085660973,2.159778496,2.21257845,2.288994507,2.377675729,2.389160981,2.402187793,2.448788116,2.513780088,2.469777809,2.422073734,2.467621372,2.504138941,2.478585323,2.403411754,2.395849422,2.433051474,2.454809189,2.498851047,2.679617026,2.881230801,3.012365019,3.144507078,3.278673298
North America,NAC,15.6690354,15.45746117,15.80730379,16.22891802,16.74350092,17.2551207,17.90272892,18.43478001,19.01371897,19.67137622,20.98215294,20.89830717,21.6731009,22.29063222,21.38195595,20.35558108,21.03292826,21.01029339,21.40698906,21.3156889,20.43078008,19.43332601,18.28359115,18.22890275,18.61344765,18.49559079,18.30113629,18.92333404,19.58403031,19.60114205,19.14176878,18.91255138,18.67305402,19.48354443,19.4091745,19.19243347,19.35899965,19.66200707,19.460602,19.47670899,20.04650536,19.45285098,19.45825418,19.3696355,19.52403684,19.49326173,19.01705467,19.09506597
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,7.313232999,7.374104122,7.595340524,7.907532839,8.186142439,8.434898281,8.721006948,9.004151086,9.404134266,9.84393604,10.57400232,10.63968757,11.0246422,11.53479216,11.13240724,10.67103287,11.11721043,11.15336985,11.37212891,11.54524684,11.18552155,10.65505613,10.24657963,10.11100828,10.277985,10.28450316,10.20716438,10.45307694,10.71366884,10.88590931,10.8006376,10.84897928,10.75322803,10.88191111,10.92161152,10.95328011,11.17325634,11.21372424,11.0895431,10.91184632,11.14169546,11.01305661,11.00962238,11.07600546,11.1323749,11.07979659,10.97340527,11.00200468
South Asia,SAS,0.248607994,0.261594413,0.281467185,0.296934385,0.285022969,0.305342426,0.307798835,0.303747561,0.324153637,0.321735329,0.320900991,0.326649275,0.330234242,0.335086345,0.339001857,0.35954369,0.36550706,0.4220812,0.417419046,0.427252527,0.440101442,0.462126784,0.481028662,0.508881595,0.515484894,0.553440346,0.577968396,0.603697273,0.637112606,0.677004463,0.695916114,0.723073889,0.753648324,0.7685667,0.802935335,0.83552949,0.894942574,0.912369562,0.918097461,0.959901472,0.981601139,0.982187098,0.987452341,1.015142978,1.055267337,1.089403673,1.143510442,1.207659949
Sub-Saharan Africa (all income levels),SSF,0.543056127,0.555222363,0.560808727,0.57384596,0.61407773,0.665049133,0.661354475,0.669467537,0.670652088,0.707726319,0.761315977,0.852083882,0.876145128,0.906931487,0.9377878,0.884263516,0.908280624,0.891417863,0.879153261,0.964218888,0.968960834,1.006583728,1.032835169,1.020033536,1.065510244,1.062163388,1.046367178,1.003223134,1.040469413,0.968110162,0.907180864,0.898929182,0.879761929,0.89017248,0.87086783,0.83657217,0.840107248,0.836087356,0.809560442,0.801388762,0.831984359,0.81306989,0.801957343,0.821795636,0.874315185,0.871889613,0.835265104,0.862563619
Sub-Saharan Africa (developing only),SSA,0.543558757,0.555733531,0.561320533,0.574350779,0.614621892,0.665630338,0.661946874,0.670070909,0.671243534,0.708296898,0.76194824,0.852673402,0.876642073,0.907592017,0.938351575,0.884709556,0.908705962,0.891800516,0.879485788,0.964610582,0.969367732,1.007003384,1.033294931,1.020551361,1.066052993,1.062767271,1.046946731,1.003744388,1.041011087,0.968584115,0.907611968,0.899210279,0.880016226,0.890656202,0.871463279,0.836983843,0.840556375,0.836255387,0.809922592,0.801283469,0.83195343,0.809159212,0.795448084,0.814028169,0.868628569,0.866316537,0.829765735,0.857183593
Upper middle income,UMC,1.690736907,1.408687552,1.293704777,1.289533395,1.328161251,1.388837391,1.465814579,1.410649204,1.50495617,1.658062764,1.891907951,2.017866956,2.084399548,2.183630284,2.211195915,2.346310922,2.445627581,2.56701277,2.765351308,2.81057851,2.77630708,2.732515339,2.886298697,2.930194592,3.03246739,3.137630438,3.216019644,3.33936974,3.45519508,3.48004218,3.498972133,3.550154023,3.608368576,3.569917208,3.526161273,3.604684443,3.653751555,3.621862249,3.512454815,3.470297953,3.514014215,3.553694967,3.628667009,3.96690008,4.322175502,4.559064596,4.815121229,5.028131902
World,WLD,3.119110725,3.0969695,3.167922506,3.27146516,3.386148706,3.468113023,3.568523678,3.608357305,3.719185124,3.856916505,4.052644583,4.11912867,4.198151166,4.338980948,4.265217781,4.161304241,4.326739419,4.372081639,4.350302645,4.51258301,4.392798729,4.18287217,4.084125137,3.997895791,4.072291897,4.117962016,4.172371713,4.204894901,4.285229627,4.298226072,4.273222113,4.267747395,4.127058619,4.070022218,4.088148304,4.118247015,4.148241174,4.16957567,4.101754721,4.011984652,4.060696856,4.106189941,4.088472047,4.233658006,4.403077631,4.522157988,4.612258933,4.636795708
Afghanistan,AFG,0.042811501,0.04979509,0.068496333,0.068914774,0.080101553,0.094185979,0.099917604,0.114872762,0.107245083,0.08064133,0.139640378,0.154344693,0.121612668,0.126809502,0.14490944,0.157351677,0.143413057,0.168260831,0.1482507,0.149992206,0.114925062,0.126596032,0.131046906,0.153783559,0.168650678,0.20432996,0.179245849,0.17456455,0.156953637,0.148836238,0.14059952,0.12667365,0.070087952,0.065349374,0.060677693,0.056405188,0.051796809,0.046788717,0.043069749,0.032985116,0.030073506,0.024154535,0.013073553,0.020617986,0.024200921,0.023401601,0.022638126,0.022594158
