Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Arab World,ARB,,,,,,,,,255.3737528,273.8948093,290.6849895,327.7119525,386.9973578,476.6845767,896.9677601,980.5909512,1169.711176,1306.611055,1407.217689,1820.252246,2337.596152,2323.919256,2095.55565,1917.338129,1888.38182,1813.100864,1660.985064,1727.006641,1620.252567,1665.476858,1805.086841,1725.692367,1821.593598,1798.161942,1794.233493,1872.171316,2023.647396,2098.270219,1995.158621,2133.391076,2408.293475,2287.765025,2270.250731,2513.303255,2857.529239,3414.294235,3967.300203,4540.322321,5633.913467,4792.194405,5334.254429
East Asia & Pacific (all income levels),EAS,148.8303103,145.7938539,146.2859902,160.0208848,180.1474056,197.1039424,214.747063,227.2167318,244.5139479,274.3567506,310.3431045,335.9821052,406.9167734,524.811569,591.7714675,635.8072508,687.2714908,806.4568525,1001.028885,1071.544774,1142.67023,1243.843864,1197.409077,1248.943325,1318.757307,1376.765248,1762.878902,2027.030046,2403.150989,2475.243864,2552.840825,2833.757624,3052.078438,3374.525613,3720.531613,4155.101465,3948.218412,3749.536259,3307.880421,3652.05953,3913.196815,3603.713514,3632.845401,3959.216186,4419.850801,4677.883579,4940.759375,5502.857499,6295.293466,6441.314489,7367.137297
East Asia & Pacific (developing only),EAP,92.77424978,79.81727265,71.32227377,75.32964217,84.56691678,96.91463384,103.178897,97.51581898,95.95418991,104.8782996,113.7619611,118.8428216,131.4406323,161.9730533,179.2740771,197.5920648,197.4392183,224.7889173,215.0029234,245.4824795,280.0503863,295.158155,302.5300603,311.6117293,331.7723301,357.0445835,348.6685153,338.1541989,371.5301795,395.7964693,418.1046357,448.8461126,495.041443,526.9565512,627.1838088,765.4612448,868.684212,889.7519142,804.0428508,873.8847809,952.2545312,1004.263495,1100.632027,1232.98858,1418.127648,1623.431159,1937.621426,2429.919821,3049.696055,3268.40633,3863.978407
Euro area,EMU,935.3261171,1017.464545,1120.155531,1245.090819,1372.808969,1486.390974,1608.322438,1736.548324,1853.009768,2039.848677,2214.607964,2494.487054,2996.159614,3868.503698,4353.959646,5029.972875,5227.0171,5922.080058,7217.244707,8700.660927,9699.702301,8392.642367,8101.985304,7890.188468,7556.579601,7748.360632,10850.31703,13383.9897,14673.89182,14925.00095,18669.23556,19298.72464,21178.09326,19309.78258,20361.20921,23462.01828,23656.94429,21541.76749,22065.8102,21909.07287,19878.46667,20066.36144,21713.30162,26662.09397,30346.86898,31317.81373,33008.51639,37718.28144,41125.20096,37607.9812,36706.13233
Europe & Central Asia (all income levels),ECS,657.4768388,690.3571697,746.3521425,813.4887079,890.6537419,959.3475901,1032.833881,1101.972046,1140.150926,1243.74755,1348.27793,1509.624938,1796.179103,2267.919199,2543.967639,2958.425033,3056.591076,3435.068693,4176.02376,5054.004679,5666.498755,5006.982332,4797.806013,4624.999445,4418.204507,4543.409011,6127.528057,7475.457382,8257.924607,8397.500593,10148.70822,10398.60948,11098.03436,10164.0231,10619.5034,12152.62935,12371.3487,11705.77429,11986.94526,11854.88504,11131.13291,11224.49247,12267.42568,14923.31182,17340.81411,18385.97608,19834.0308,23095.58164,25280.66404,22161.24716,22551.40792
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301.67033,2429.171148,2322.801018,2142.578517,2095.238759,1819.394578,1936.062825,1948.303409,2031.621647,1896.167596,1602.595434,1781.83566,1776.915704,2031.448957,2562.60333,3378.034233,4262.222864,5222.69394,6739.794024,8286.837512,6466.510457,7541.532845
European Union,EUU,898.3615476,967.4760404,1048.170165,1144.675376,1257.713916,1359.363721,1462.971755,1562.135321,1613.616531,1764.25874,1926.690548,2164.284173,2577.449937,3254.841365,3636.940028,4232.682839,4366.901062,4924.229659,5999.744762,7286.147565,8273.780894,7287.081712,6997.826579,6763.606749,6478.677592,6676.893385,9075.096308,11117.69806,12340.52129,12566.04658,15409.17082,15915.11069,17286.26209,15710.02684,16671.15754,19160.9616,19521.52769,18365.75723,18990.86998,18974.26134,17566.36171,17732.41876,19286.77195,23417.83869,26905.83888,27962.86124,29685.23593,34152.34952,36615.86231,32647.76645,32365.51934
Heavily indebted poor countries (HIPC),HPC,107.3834481,107.453956,113.5629907,134.242634,117.1331852,133.5078605,142.0914982,135.5400088,138.4602901,150.427049,153.3304361,160.9204775,170.1415584,200.8097214,237.7391508,262.8463565,272.3536372,311.7509193,352.7772751,379.6030241,390.8921194,378.2585428,368.7797356,339.8311406,330.3051104,335.5010148,374.1489215,401.4150876,388.0055751,363.5577185,359.371785,355.4126967,327.2166307,313.0083761,267.5074469,297.437285,304.0823047,310.676557,311.1288497,300.1349642,286.1158,281.5071139,297.3486177,331.2034234,372.9628375,412.2563345,479.1068245,556.8560416,659.2497118,633.2736024,666.1600728
High income,HIC,1382.280664,1439.618911,1537.078281,1634.955857,1763.866489,1893.515993,2055.363746,2184.06444,2344.995709,2544.706984,2736.619595,3008.21072,3465.39663,4164.75663,4664.253552,5180.020239,5598.921783,6283.584097,7479.424486,8564.077005,9471.357589,9526.851905,9368.117382,9604.614326,9956.566365,10387.02182,12525.0113,14385.24101,16083.81479,16712.79794,18599.79385,19485.45953,20798.63265,20814.09318,22157.30314,24298.03939,24302.38061,23756.80895,23684.86668,24767.08267,25098.56566,24691.79474,25594.86387,28510.36938,31492.48567,33000.05427,34574.88155,37561.91129,39630.72805,36948.68643,38171.20213
High income: nonOECD,NOC,,,,,,550.4871678,588.2265258,632.9944872,686.6549097,748.4810223,822.7709241,968.0840523,1159.235071,1525.119674,2848.491774,2950.370158,3590.887491,4056.165063,4379.28669,5687.409067,7502.563175,7973.108733,7110.572564,6449.053607,6409.830848,6070.6917,5768.595874,6533.780013,7122.528116,7984.647529,8818.081004,9344.876701,10589.79248,10971.12139,11769.12013,12432.54678,13274.52555,13748.47858,12609.2091,13167.43829,14365.13643,13612.6222,13835.93868,14757.11232,16419.68728,18691.25936,20513.65408,22604.34905,25531.87027,,
