"Council" "Yes" "No" "Rejected" "Total" "Electorate" "Scottish_only_identity" "Born_in_Scotland" "Unemployed" "Age_65_or_over"
"1" "Aberdeen City" 59390 84094 180 143664 175751 54.7 75 7.6 14.8
"2" "Aberdeenshire" 71337 108606 102 180045 206490 61.3 80.5 5.6 17.2
"3" "Angus" 35044 45192 66 80302 93656 66.8 85.9 9.4 21.5
"4" "Argyll and Bute" 26324 37143 49 63516 72014 57.4 76.1 10.3 23.4
"5" "Clackmannanshire" 16350 19036 24 35410 39974 67 86.4 14.9 17.6
"6" "Dumfries and Galloway" 36614 70039 122 106775 122052 59.6 77.1 11.4 23.3
"7" "Dundee City" 53620 39880 92 93592 118764 65.5 83.7 16 17.2
"8" "East Ayrshire" 39762 44442 58 84262 99682 70.6 91.5 15.4 18.6
"9" "East Dunbartonshire" 30624 48314 73 79011 86844 60.2 89.2 7.8 20.8
"10" "East Lothian" 27467 44283 48 71798 81947 62.6 83.7 9.8 18.8
"11" "East Renfrewshire" 24287 41690 44 66021 72993 59 89.3 7.6 18.9
"12" "Edinburgh City" 123927 194638 460 319025 378039 48.8 70.2 9.5 14.8
"13" "Eilean Siar" 9195 10544 19 19758 22908 69.2 85.1 9.7 22.9
"14" "Falkirk" 50489 58030 107 108626 122460 68 90.3 12.4 17.3
"15" "Fife" 114148 139788 226 254162 302165 63.8 83.6 12.5 18.8
"16" "Glasgow City" 194779 169347 538 364664 486296 61.9 82 18.8 13.9
"17" "Highland" 78069 87739 168 165976 190787 61.5 77.2 9.3 20
"18" "Inverclyde" 27243 27329 29 54601 62486 69.9 92.9 17.7 19.2
"19" "Midlothian" 26370 33972 53 60395 69620 68.3 88.5 11.9 17.9
"20" "Moray" 27232 36935 38 64205 75173 58.4 75.4 8.1 19.6
"21" "North Ayrshire" 47072 49016 85 96173 113941 68.2 90.4 17.1 20.3
"22" "North Lanarkshire" 115783 110922 178 226883 268738 71.6 93.5 15.7 15.8
"23" "Orkney Islands" 4883 10004 20 14907 17806 62.4 78 6.3 21.1
"24" "Perth and Kinross" 41475 62714 96 104285 120052 59 79.3 8.4 21.5
"25" "Renfrewshire" 55466 62067 79 117612 134745 65.9 91.1 14.3 17.9
"26" "Scottish Borders" 27906 55553 67 83526 95542 57.7 75 9.8 22.6
"27" "Shetland Islands" 5669 9951 15 15635 18516 59.9 80.7 5.9 17.7
"28" "South Ayrshire" 34402 47247 67 81716 94895 63.9 87.4 13.3 22.9
"29" "South Lanarkshire" 100990 121800 137 222927 261193 67.2 91.4 13.6 17.9
"30" "Stirling" 25010 37153 62 62225 69043 57.5 79.8 9.5 18.2
"31" "West Dunbartonshire" 33720 28776 36 62532 71128 72 92.3 18.1 17.3
"32" "West Lothian" 53342 65682 91 119115 138238 65.2 86.7 12.2 14.9
